位置 (x, y, z), 角度 (θ1, θ2, θ3, θ4)
43.74, -75.76, 313.21, -60.00, 59.99, 8.02, 8.00
43.74, -75.76, 313.21, -60.00, 65.05, -8.02, 8.00
5.76, -15.81, 332.21, -69.98, 79.18, 18.07, 8.00
131.31, 47.79, 273.15, 20.00, 40.00, 7.99, 8.00
131.31, 47.79, 273.15, 20.00, 45.04, -7.99, 8.00
63.95, 110.77, 239.01, 60.00, 15.19, 72.48, 8.00
63.95, 110.77, 239.01, 60.00, 57.44, -72.48, 8.00
4.24, -7.34, 321.34, -59.99, 72.89, 46.86, 8.00
15.81, 5.76, 332.21, 20.02, 79.18, 18.07, 8.00
55.04, 151.22, 237.58, 70.00, 21.64, 26.44, 8.00
55.04, 151.22, 237.58, 70.00, 38.19, -26.44, 8.00
121.75, 145.10, 153.35, 50.00, -0.01, 8.04, 8.00
121.75, 145.10, 153.35, 50.00, 5.06, -8.04, 8.00
-0.00, -72.63, 320.14, -90.00, 64.96, 7.97, 8.00
-0.00, -72.63, 320.14, -90.00, 69.99, -7.97, 8.00
80.46, -139.36, 237.58, -60.00, 21.63, 26.46, 8.00
80.46, -139.36, 237.58, -60.00, 38.19, -26.46, 8.00
31.59, -26.51, 325.67, -40.00, 68.56, 27.46, 8.00
31.59, -26.51, 325.67, -40.00, 85.73, -27.46, 8.00
29.08, -164.92, 162.81, -80.00, -11.85, 59.74, 8.00
29.08, -164.92, 162.81, -80.00, 23.99, -59.74, 8.00
38.76, 14.11, 325.67, 20.00, 68.55, 27.45, 8.00
38.76, 14.11, 325.67, 20.00, 85.72, -27.45, 8.00
29.08, 164.92, 162.81, 80.00, -11.85, 59.74, 8.00
29.08, 164.92, 162.81, 80.00, 23.99, -59.74, 8.00
65.00, 54.54, 300.49, 40.00, 47.33, 45.79, 8.00
65.00, 54.54, 300.49, 40.00, 75.43, -45.79, 8.00
54.68, -150.22, 246.94, -70.00, 30.00, 8.01, 8.00
54.68, -150.22, 246.94, -70.00, 35.05, -8.01, 8.00
15.69, 27.18, 310.66, 60.00, 61.43, 59.45, 8.00
18.90, 15.86, 332.99, 40.00, 80.01, 7.98, 8.00
18.90, 15.86, 332.99, 40.00, 85.04, -7.98, 8.00
17.82, 48.95, 296.16, 70.00, 50.19, 71.06, 8.00
97.98, 82.22, 239.01, 40.00, 15.19, 72.47, 8.00
97.98, 82.22, 239.01, 40.00, 57.44, -72.47, 8.00
102.76, -122.46, 246.94, -50.00, 30.00, 8.01, 8.00
102.76, -122.46, 246.94, -50.00, 35.05, -8.01, 8.00
14.73, 83.56, 300.49, 80.00, 47.33, 45.80, 8.00
14.73, 83.56, 300.49, 80.00, 75.43, -45.80, 8.00
5.45, -30.91, 310.66, -80.00, 61.42, 59.45, 8.00
128.29, 107.64, 213.17, 40.00, 10.20, 38.60, 8.00
128.29, 107.64, 213.17, 40.00, 34.10, -38.60, 8.00
53.50, 19.47, 325.85, 20.00, 70.00, 8.00, 8.00
