input_x,input_y,input_z,output_x,output_y,output_z
5,-265,-45,6.23,-330.33,-50.56
5,-265,-35,6.24,-330.59,-34.88
5,-265,-25,6.23,-330.44,-20.85
5,-265,-15,6.23,-330.13,-7.6
5,-265,-5,6.22,-329.74,5.08
5,-265,5,6.22,-329.74,-5.08
5,-265,15,6.23,-330.13,7.6
5,-265,25,6.23,-330.44,20.85
5,-265,35,6.24,-330.59,34.88
5,-265,45,6.23,-330.33,50.56
5,-255,-85,6.26,-319.04,-99.44
5,-255,-75,6.28,-320.44,-81.56
5,-255,-65,6.29,-320.79,-66.2
5,-255,-55,6.29,-320.71,-51.75
5,-255,-45,6.28,-320.38,-37.86
5,-255,-35,6.27,-319.86,-24.4
5,-255,-25,6.26,-319.22,-11.3
5,-255,-15,6.25,-318.5,1.47
5,-255,-5,6.23,-317.74,13.93
5,-255,5,6.23,-317.74,-13.93
5,-255,15,6.25,-318.5,-1.47
5,-255,25,6.26,-319.22,11.3
5,-255,35,6.27,-319.86,24.4
5,-255,45,6.28,-320.38,37.86
5,-255,55,6.29,-320.71,51.75
5,-255,65,6.29,-320.79,66.2
5,-255,75,6.28,-320.44,81.56
5,-255,85,6.26,-319.04,99.44
5,-245,-105,6.31,-309.25,-119.51
5,-245,-95,6.34,-310.52,-102.83
5,-245,-85,6.35,-310.98,-87.5
5,-245,-75,6.35,-310.99,-72.86
5,-245,-65,6.34,-310.7,-58.7
5,-245,-55,6.33,-310.18,-44.91
5,-245,-45,6.32,-309.48,-31.44
5,-245,-35,6.3,-308.65,-18.25
5,-245,-25,6.28,-307.72,-5.34
5,-245,-15,6.26,-306.73,7.32
5,-245,-5,6.24,-305.7,19.72
5,-245,5,6.24,-305.7,-19.72
5,-245,15,6.26,-306.73,-7.32
5,-245,25,6.28,-307.72,5.34
5,-245,35,6.3,-308.65,18.25
5,-245,45,6.32,-309.48,31.44
5,-245,55,6.33,-310.18,44.91
5,-245,65,6.34,-310.7,58.7
5,-245,75,6.35,-310.99,72.86
5,-245,85,6.35,-310.98,87.5
5,-245,95,6.34,-310.52,102.83
5,-245,105,6.31,-309.25,119.51
5,-235,-125,6.35,-298.3,-143.68
5,-235,-115,6.39,-300.15,-126.61
5,-235,-105,6.4,-300.99,-110.95
5,-235,-95,6.41,-301.27,-95.99
5,-235,-85,6.41,-301.18,-81.49
5,-235,-75,6.4,-300.79,-67.34
5,-235,-65,6.39,-300.17,-53.5
5,-235,-55,6.37,-299.36,-39.93
5,-235,-45,6.35,-298.4,-26.62
5,-235,-35,6.33,-297.32,-13.55
5,-235,-25,6.3,-296.15,-0.71
5,-235,-15,6.27,-294.92,11.89
5,-235,-5,6.25,-293.67,24.26
5,-235,5,6.25,-293.67,-24.26
5,-235,15,6.27,-294.92,-11.89
5,-235,25,6.3,-296.15,0.71
5,-235,35,6.33,-297.32,13.55
5,-235,45,6.35,-298.4,26.62
5,-235,55,6.37,-299.36,39.93
5,-235,65,6.39,-300.17,53.5
5,-235,75,6.4,-300.79,67.34
5,-235,85,6.41,-301.18,81.49
5,-235,95,6.41,-301.27,95.99
5,-235,105,6.4,-300.99,110.95
5,-235,115,6.39,-300.15,126.61
5,-235,125,6.35,-298.3,143.68
5,-225,-145,6.35,-285.82,-170.59
5,-225,-135,6.42,-289.04,-152.18
5,-225,-125,6.46,-290.54,-135.97
5,-225,-115,6.47,-291.29,-120.6
5,-225,-105,6.48,-291.55,-105.73
5,-225,-95,6.48,-291.43,-91.23
5,-225,-85,6.47,-291.02,-77.02
5,-225,-75,6.45,-290.36,-63.08
5,-225,-65,6.43,-289.49,-49.39
5,-225,-55,6.41,-288.44,-35.92
5,-225,-45,6.38,-287.25,-22.68
5,-225,-35,6.35,-285.94,-9.67
5,-225,-25,6.32,-284.55,3.12
5,-225,-15,6.29,-283.11,15.69
5,-225,-5,6.26,-281.64,28.04
5,-225,5,6.26,-281.64,-28.04
5,-225,15,6.29,-283.11,-15.69
5,-225,25,6.32,-284.55,-3.12
5,-225,35,6.35,-285.94,9.67
5,-225,45,6.38,-287.25,22.68
5,-225,55,6.41,-288.44,35.92
5,-225,65,6.43,-289.49,49.39
5,-225,75,6.45,-290.36,63.08
5,-225,85,6.47,-291.02,77.02
5,-225,95,6.48,-291.43,91.23
5,-225,105,6.48,-291.55,105.73
5,-225,115,6.47,-291.29,120.6
5,-225,125,6.46,-290.54,135.97
5,-225,135,6.42,-289.04,152.18
5,-225,145,6.35,-285.82,170.59
5,-215,-155,6.43,-276.57,-179.6
5,-215,-145,6.49,-279.27,-162.39
5,-215,-135,6.53,-280.74,-146.48
5,-215,-125,6.55,-281.53,-131.2
5,-215,-115,6.55,-281.83,-116.33
5,-215,-105,6.55,-281.76,-101.78
5,-215,-95,6.54,-281.37,-87.48
5,-215,-85,6.53,-280.72,-73.42
5,-215,-75,6.51,-279.83,-59.58
5,-215,-65,6.48,-278.74,-45.95
5,-215,-55,6.45,-277.48,-32.54
5,-215,-45,6.42,-276.08,-19.33
5,-215,-35,6.39,-274.57,-6.35
5,-215,-25,6.35,-272.96,6.42
5,-215,-15,6.31,-271.3,18.97
5,-215,-5,6.27,-269.62,31.31
5,-215,5,6.27,-269.62,-31.31
5,-215,15,6.31,-271.3,-18.97
5,-215,25,6.35,-272.96,-6.42
5,-215,35,6.39,-274.57,6.35
5,-215,45,6.42,-276.08,19.33
5,-215,55,6.45,-277.48,32.54
5,-215,65,6.48,-278.74,45.95
5,-215,75,6.51,-279.83,59.58
5,-215,85,6.53,-280.72,73.42
5,-215,95,6.54,-281.37,87.48
5,-215,105,6.55,-281.76,101.78
5,-215,115,6.55,-281.83,116.33
5,-215,125,6.55,-281.53,131.2
5,-215,135,6.53,-280.74,146.48
5,-215,145,6.49,-279.27,162.39
5,-215,155,6.43,-276.57,179.6
5,-205,-165,6.5,-266.54,-190.37
5,-205,-155,6.57,-269.22,-173.57
5,-205,-145,6.6,-270.79,-157.78
5,-205,-135,6.63,-271.7,-142.52
5,-205,-125,6.64,-272.11,-127.62
5,-205,-115,6.64,-272.14,-112.99
5,-205,-105,6.63,-271.83,-98.59
5,-205,-95,6.62,-271.22,-84.39
5,-205,-85,6.59,-270.37,-70.4
5,-205,-75,6.57,-269.28,-56.61
5,-205,-65,6.54,-267.99,-43.01
5,-205,-55,6.5,-266.53,-29.61
5,-205,-45,6.46,-264.93,-16.42
5,-205,-35,6.42,-263.2,-3.44
5,-205,-25,6.38,-261.39,9.32
5,-205,-15,6.33,-259.52,21.86
5,-205,-5,6.28,-257.62,34.17
5,-205,5,6.28,-257.62,-34.17
5,-205,15,6.33,-259.52,-21.86
5,-205,25,6.38,-261.39,-9.32
5,-205,35,6.42,-263.2,3.44
5,-205,45,6.46,-264.93,16.42
5,-205,55,6.5,-266.53,29.61
5,-205,65,6.54,-267.99,43.01
5,-205,75,6.57,-269.28,56.61
5,-205,85,6.59,-270.37,70.4
5,-205,95,6.62,-271.22,84.39
5,-205,105,6.63,-271.83,98.59
5,-205,115,6.64,-272.14,112.99
5,-205,125,6.64,-272.11,127.62
5,-205,135,6.63,-271.7,142.52
5,-205,145,6.6,-270.79,157.78
5,-205,155,6.57,-269.22,173.57
5,-205,165,6.5,-266.54,190.37
5,-195,-185,7.08,-276.11,-188.22
5,-195,-175,6.57,-256.05,-202.1
5,-195,-165,6.64,-258.93,-185.46
5,-195,-155,6.68,-260.69,-169.71
5,-195,-145,6.71,-261.78,-154.43
5,-195,-135,6.73,-262.35,-139.48
5,-195,-125,6.73,-262.52,-124.76
5,-195,-115,6.73,-262.33,-110.26
5,-195,-105,6.71,-261.83,-95.94
5,-195,-95,6.69,-261.05,-81.79
5,-195,-85,6.67,-260.01,-67.83
5,-195,-75,6.63,-258.74,-54.04
5,-195,-65,6.6,-257.27,-40.45
5,-195,-55,6.55,-255.61,-27.05
5,-195,-45,6.51,-253.81,-13.85
5,-195,-35,6.09,-237.57,-83.71
5,-195,-25,6.14,-239.46,-72.28
5,-195,-15,6.19,-241.46,-60.65
5,-195,-5,6.24,-243.53,-48.8
5,-195,5,6.24,-243.53,48.8
5,-195,15,6.19,-241.46,60.65
5,-195,25,6.14,-239.46,72.28
5,-195,35,6.09,-237.57,83.71
5,-195,45,6.51,-253.81,13.85
5,-195,55,6.55,-255.61,27.05
5,-195,65,6.6,-257.27,40.45
5,-195,75,6.63,-258.74,54.04
5,-195,85,6.67,-260.01,67.83
5,-195,95,6.69,-261.05,81.79
5,-195,105,6.71,-261.83,95.94
5,-195,115,6.73,-262.33,110.26
5,-195,125,6.73,-262.52,124.76
5,-195,135,6.73,-262.35,139.48
5,-195,145,6.71,-261.78,154.43
5,-195,155,6.68,-260.69,169.71
5,-195,165,6.64,-258.93,185.46
5,-195,175,6.57,-256.05,202.1
5,-195,185,7.08,-276.11,188.22
5,-185,-195,5.38,-199.11,-268.4
5,-185,-185,6.63,-245.15,-214.51
5,-185,-175,6.71,-248.37,-197.91
5,-185,-165,6.77,-250.41,-182.15
5,-185,-155,6.8,-251.73,-166.85
5,-185,-145,6.82,-252.52,-151.84
5,-185,-135,6.83,-252.88,-137.05
5,-185,-125,6.83,-252.86,-122.44
5,-185,-115,6.82,-252.5,-108.0
5,-185,-105,6.81,-251.84,-93.71
5,-185,-95,6.78,-250.9,-79.58
5,-185,-85,6.75,-249.69,-65.62
5,-185,-75,6.71,-248.25,-51.82
5,-185,-65,5.93,-219.46,-118.81
5,-185,-55,5.97,-221.04,-108.0
5,-185,-45,6.02,-222.82,-97.02
5,-185,-35,6.07,-224.77,-85.85
5,-185,35,6.07,-224.77,85.85
5,-185,45,6.02,-222.82,97.02
5,-185,55,5.97,-221.04,108.0
5,-185,65,5.93,-219.46,118.81
5,-185,75,6.71,-248.25,51.82
5,-185,85,6.75,-249.69,65.62
5,-185,95,6.78,-250.9,79.58
5,-185,105,6.81,-251.84,93.71
5,-185,115,6.82,-252.5,108.0
5,-185,125,6.83,-252.86,122.44
5,-185,135,6.83,-252.88,137.05
5,-185,145,6.82,-252.52,151.84
5,-185,155,6.8,-251.73,166.85
5,-185,165,6.77,-250.41,182.15
5,-185,175,6.71,-248.37,197.91
5,-185,185,6.63,-245.15,214.51
5,-185,195,5.38,-199.11,268.4
5,-175,-195,6.08,-212.7,-247.33
5,-175,-185,5.96,-208.71,-239.38
5,-175,-175,6.85,-239.9,-195.04
5,-175,-165,6.9,-241.51,-179.7
5,-175,-155,6.93,-242.56,-164.64
5,-175,-145,6.95,-243.15,-149.79
5,-175,-135,6.95,-243.34,-135.1
5,-175,-125,6.95,-243.17,-120.55
5,-175,-115,6.93,-242.68,-106.13
5,-175,-105,6.91,-241.88,-91.85
5,-175,-95,6.88,-240.79,-77.7
5,-175,-85,5.81,-203.38,-141.56
5,-175,-75,5.85,-204.64,-131.1
5,-175,75,5.85,-204.64,131.1
5,-175,85,5.81,-203.38,141.56
5,-175,95,6.88,-240.79,77.7
5,-175,105,6.91,-241.88,91.85
5,-175,115,6.93,-242.68,106.13
5,-175,125,6.95,-243.17,120.55
5,-175,135,6.95,-243.34,135.1
5,-175,145,6.95,-243.15,149.79
5,-175,155,6.93,-242.56,164.64
5,-175,165,6.9,-241.51,179.7
5,-175,175,6.85,-239.9,195.04
5,-175,185,5.96,-208.71,239.38
5,-175,195,6.08,-212.7,247.33
5,-165,-205,6.11,-201.51,-258.24
5,-165,-195,5.96,-196.81,-250.43
5,-165,-185,5.87,-193.68,-241.62
5,-165,-175,5.8,-191.41,-232.37
5,-165,-165,7.04,-232.43,-177.83
